delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,1970-01-01 00:00:00.000000006
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,1970-01-01 00:00:00.000000006
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,1970-01-01 00:00:00.000000003
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,1970-01-01 00:00:00.000000007
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,1970-01-01 00:00:00.000000009
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,1970-01-01 00:00:00.000000006
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,1970-01-01 00:00:00.000000005
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,1970-01-01 00:00:00.000000004
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,1970-01-01 00:00:00.000000011
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,1970-01-01 00:00:00.000000004
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,1970-01-01 00:00:00.000000002
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,1970-01-01 00:00:00.000000005
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,1970-01-01 00:00:00.000000007
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,1970-01-01 00:00:00.000000005
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,1970-01-01 00:00:00.000000005
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,1970-01-01 00:00:00.000000007
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,1970-01-01 00:00:00.000000009
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,1970-01-01 00:00:00.000000007
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,1970-01-01 00:00:00.000000006
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,1970-01-01 00:00:00.000000003
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,1970-01-01 00:00:00.000000003
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,1970-01-01 00:00:00.000000003
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,1970-01-01 00:00:00.000000012
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,1970-01-01 00:00:00.000000008
250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,1970-01-01 00:00:00.000000007
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,1970-01-01 00:00:00.000000004
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,1970-01-01 00:00:00.000000012
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,1970-01-01 00:00:00.000000004
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,1970-01-01 00:00:00.000000006
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,1970-01-01 00:00:00.000000006
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,1970-01-01 00:00:00.000000006
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,1970-01-01 00:00:00.000000006
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,1970-01-01 00:00:00.000000002
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,1970-01-01 00:00:00.000000008
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,1970-01-01 00:00:00.000000008
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,1970-01-01 00:00:00.000000003
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,1970-01-01 00:00:00.000000011
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,1970-01-01 00:00:00.000000007
250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,1970-01-01 00:00:00.000000013
250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,1970-01-01 00:00:00.000000002
250.99,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,1970-01-01 00:00:00.000000003
250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,1970-01-01 00:00:00.000000008
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,1970-01-01 00:00:00.000000006
250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,1970-01-01 00:00:00.000000009
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,1970-01-01 00:00:00.000000004
250.99,shadowfax,electronics,van,two day,south,clear,244.0,13.62,1970-01-01 00:00:00.000000007
250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,1970-01-01 00:00:00.000000008
250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,1970-01-01 00:00:00.000000003
250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,1970-01-01 00:00:00.000000000
250.99,xpressbees,documents,van,standard,east,rainy,111.0,36.68,1970-01-01 00:00:00.000000009
250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,1970-01-01 00:00:00.000000011
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,1970-01-01 00:00:00.000000007
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,1970-01-01 00:00:00.000000009
250.99,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,1970-01-01 00:00:00.000000004
250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,1970-01-01 00:00:00.000000004
250.99,ecom express,clothing,van,standard,west,foggy,193.2,33.28,1970-01-01 00:00:00.000000007
250.99,ekart,clothing,van,two day,east,foggy,174.3,47.29,1970-01-01 00:00:00.000000010
250.99,ekart,groceries,bike,same day,west,clear,11.4,40.22,1970-01-01 00:00:00.000000001
250.99,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,1970-01-01 00:00:00.000000006
250.99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,1970-01-01 00:00:00.000000011
250.99,blue dart,groceries,truck,express,west,stormy,111.2,37.33,1970-01-01 00:00:00.000000006
250.99,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,1970-01-01 00:00:00.000000004
250.99,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,1970-01-01 00:00:00.000000009
250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,1970-01-01 00:00:00.000000005
250.99,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,1970-01-01 00:00:00.000000008
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,1970-01-01 00:00:00.000000005
250.99,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,1970-01-01 00:00:00.000000006
250.99,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,1970-01-01 00:00:00.000000005
250.99,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,1970-01-01 00:00:00.000000006
250.99,fedex,furniture,scooter,same day,north,hot,3.6,31.41,1970-01-01 00:00:00.000000002
250.99,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,1970-01-01 00:00:00.000000009
250.99,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,1970-01-01 00:00:00.000000003
250.99,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,1970-01-01 00:00:00.000000009
250.99,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,1970-01-01 00:00:00.000000009
250.99,fedex,electronics,scooter,standard,west,clear,35.7,10.8,1970-01-01 00:00:00.000000003
250.99,fedex,documents,van,express,central,stormy,259.3,27.01,1970-01-01 00:00:00.000000008
250.99,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,1970-01-01 00:00:00.000000004
250.99,delhivery,cosmetics,van,express,south,clear,93.1,20.89,1970-01-01 00:00:00.000000002
250.99,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,1970-01-01 00:00:00.000000009
250.99,ekart,furniture,truck,two day,west,clear,110.2,23.24,1970-01-01 00:00:00.000000004
250.99,blue dart,documents,bike,standard,west,clear,6.0,0.88,1970-01-01 00:00:00.000000001
250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,1970-01-01 00:00:00.000000002
250.99,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,1970-01-01 00:00:00.000000004
250.99,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,1970-01-01 00:00:00.000000013
250.99,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,1970-01-01 00:00:00.000000002
250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,1970-01-01 00:00:00.000000002
250.99,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,1970-01-01 00:00:00.000000006
250.99,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,1970-01-01 00:00:00.000000008
250.99,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,1970-01-01 00:00:00.000000009
250.99,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,1970-01-01 00:00:00.000000008
250.99,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,1970-01-01 00:00:00.000000002
250.99,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,1970-01-01 00:00:00.000000009
250.99,fedex,clothing,truck,same day,north,cold,287.0,8.21,1970-01-01 00:00:00.000000010
250.99,delhivery,electronics,van,two day,north,foggy,50.5,31.28,1970-01-01 00:00:00.000000002
250.99,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,1970-01-01 00:00:00.000000007
250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,1970-01-01 00:00:00.000000002
250.99,ekart,groceries,scooter,two day,east,cold,45.8,27.22,1970-01-01 00:00:00.000000001
250.99,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,1970-01-01 00:00:00.000000000
250.99,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,1970-01-01 00:00:00.000000006
250.99,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,1970-01-01 00:00:00.000000005
250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,1970-01-01 00:00:00.000000008
250.99,ecom express,electronics,van,same day,east,stormy,75.7,41.47,1970-01-01 00:00:00.000000008
250.99,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,1970-01-01 00:00:00.000000003
250.99,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,1970-01-01 00:00:00.000000010
250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,1970-01-01 00:00:00.000000008
250.99,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,1970-01-01 00:00:00.000000004
250.99,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,1970-01-01 00:00:00.000000007
250.99,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,1970-01-01 00:00:00.000000005
250.99,ekart,documents,truck,same day,south,foggy,147.7,46.57,1970-01-01 00:00:00.000000006
250.99,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,1970-01-01 00:00:00.000000006
250.99,delhivery,pharmacy,van,express,north,cold,235.6,42.35,1970-01-01 00:00:00.000000007
250.99,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,1970-01-01 00:00:00.000000004
250.99,ekart,groceries,truck,two day,central,cold,273.9,42.56,1970-01-01 00:00:00.000000006
250.99,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,1970-01-01 00:00:00.000000004
250.99,ekart,groceries,van,two day,east,clear,82.2,18.81,1970-01-01 00:00:00.000000002
250.99,dhl,clothing,truck,same day,south,cold,280.3,15.29,1970-01-01 00:00:00.000000007
250.99,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,1970-01-01 00:00:00.000000008
250.99,blue dart,groceries,van,same day,west,clear,279.9,21.63,1970-01-01 00:00:00.000000012
250.99,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,1970-01-01 00:00:00.000000011
250.99,fedex,electronics,van,two day,central,cold,29.9,47.31,1970-01-01 00:00:00.000000002
250.99,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,1970-01-01 00:00:00.000000001
250.99,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,1970-01-01 00:00:00.000000010
250.99,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,1970-01-01 00:00:00.000000004
250.99,dhl,documents,ev bike,two day,east,hot,230.8,30.01,1970-01-01 00:00:00.000000006
250.99,dhl,clothing,bike,express,west,clear,93.0,9.37,1970-01-01 00:00:00.000000002
250.99,dhl,electronics,van,two day,west,clear,10.4,4.59,1970-01-01 00:00:00.000000001
250.99,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,1970-01-01 00:00:00.000000004
250.99,ekart,documents,scooter,express,west,rainy,182.1,2.26,1970-01-01 00:00:00.000000011
250.99,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,1970-01-01 00:00:00.000000003
250.99,dhl,groceries,bike,two day,north,cold,55.2,6.78,1970-01-01 00:00:00.000000001
250.99,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,1970-01-01 00:00:00.000000012
250.99,delhivery,electronics,truck,express,west,hot,46.2,14.83,1970-01-01 00:00:00.000000002
250.99,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,1970-01-01 00:00:00.000000001
250.99,xpressbees,groceries,scooter,express,north,hot,297.1,22.0,1970-01-01 00:00:00.000000005
250.99,xpressbees,electronics,bike,express,central,hot,87.8,7.72,1970-01-01 00:00:00.000000003
250.99,xpressbees,groceries,truck,express,central,hot,267.4,11.53,1970-01-01 00:00:00.000000009
250.99,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,1970-01-01 00:00:00.000000010
250.99,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,1970-01-01 00:00:00.000000006
250.99,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,1970-01-01 00:00:00.000000004
250.99,ecom express,fragile items,van,same day,south,foggy,225.0,7.32,1970-01-01 00:00:00.000000011
250.99,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,1970-01-01 00:00:00.000000014
250.99,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,1970-01-01 00:00:00.000000007
250.99,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,1970-01-01 00:00:00.000000000
250.99,fedex,automobile parts,van,standard,west,hot,135.1,37.59,1970-01-01 00:00:00.000000004
250.99,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,1970-01-01 00:00:00.000000009
250.99,fedex,documents,truck,express,north,rainy,169.6,41.44,1970-01-01 00:00:00.000000009
250.99,fedex,fragile items,van,express,central,foggy,250.7,29.97,1970-01-01 00:00:00.000000010
250.99,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,1970-01-01 00:00:00.000000007
250.99,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,1970-01-01 00:00:00.000000007
250.99,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,1970-01-01 00:00:00.000000002
250.99,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,1970-01-01 00:00:00.000000005
250.99,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,1970-01-01 00:00:00.000000002
250.99,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,1970-01-01 00:00:00.000000005
250.99,shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,1970-01-01 00:00:00.000000005
250.99,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,1970-01-01 00:00:00.000000003
250.99,ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,1970-01-01 00:00:00.000000003
250.99,delhivery,groceries,van,same day,east,cold,213.7,49.52,1970-01-01 00:00:00.000000005
250.99,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,1970-01-01 00:00:00.000000008
250.99,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,1970-01-01 00:00:00.000000007
250.99,dhl,fragile items,truck,express,central,foggy,198.5,20.1,1970-01-01 00:00:00.000000004
250.99,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,1970-01-01 00:00:00.000000006
250.99,dhl,documents,truck,same day,north,clear,265.3,31.8,1970-01-01 00:00:00.000000005
250.99,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,1970-01-01 00:00:00.000000009
250.99,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,1970-01-01 00:00:00.000000003
250.99,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,1970-01-01 00:00:00.000000004
250.99,fedex,clothing,bike,same day,east,stormy,187.7,6.69,1970-01-01 00:00:00.000000013
250.99,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,1970-01-01 00:00:00.000000009
250.99,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,1970-01-01 00:00:00.000000005
250.99,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,1970-01-01 00:00:00.000000006
250.99,ekart,electronics,van,express,central,foggy,52.0,43.18,1970-01-01 00:00:00.000000006
250.99,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,1970-01-01 00:00:00.000000008
250.99,ekart,automobile parts,van,same day,north,cold,289.2,16.14,1970-01-01 00:00:00.000000009
250.99,xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,1970-01-01 00:00:00.000000005
250.99,amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,1970-01-01 00:00:00.000000012
250.99,fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,1970-01-01 00:00:00.000000009
250.99,xpressbees,groceries,van,express,east,hot,86.5,37.04,1970-01-01 00:00:00.000000003
250.99,ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,1970-01-01 00:00:00.000000009
250.99,delhivery,clothing,ev van,standard,central,rainy,41.0,29.25,1970-01-01 00:00:00.000000006
250.99,delhivery,documents,van,standard,central,foggy,137.4,27.87,1970-01-01 00:00:00.000000007
250.99,fedex,clothing,ev bike,standard,north,clear,32.3,46.58,1970-01-01 00:00:00.000000001
250.99,ecom express,fragile items,van,express,central,clear,207.8,40.12,1970-01-01 00:00:00.000000006
250.99,blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,1970-01-01 00:00:00.000000003
250.99,fedex,cosmetics,ev bike,standard,south,clear,258.0,37.92,1970-01-01 00:00:00.000000008
250.99,xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,1970-01-01 00:00:00.000000007
250.99,blue dart,clothing,scooter,standard,north,cold,289.7,19.13,1970-01-01 00:00:00.000000005
250.99,xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,1970-01-01 00:00:00.000000005
250.99,ekart,clothing,truck,standard,west,foggy,245.8,4.19,1970-01-01 00:00:00.000000005
250.99,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,1970-01-01 00:00:00.000000003
250.99,shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,1970-01-01 00:00:00.000000007
250.99,fedex,fragile items,bike,express,east,hot,225.4,22.3,1970-01-01 00:00:00.000000005
250.99,blue dart,clothing,scooter,express,south,clear,36.9,45.45,1970-01-01 00:00:00.000000002
250.99,fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,1970-01-01 00:00:00.000000016
250.99,amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,1970-01-01 00:00:00.000000005
250.99,delhivery,electronics,ev van,two day,east,hot,167.2,35.91,1970-01-01 00:00:00.000000007
250.99,xpressbees,pharmacy,van,express,south,hot,127.4,3.49,1970-01-01 00:00:00.000000003
250.99,fedex,fragile items,ev van,standard,central,foggy,267.0,26.49,1970-01-01 00:00:00.000000011
250.99,xpressbees,furniture,truck,same day,south,cold,214.0,34.34,1970-01-01 00:00:00.000000007
250.99,shadowfax,groceries,bike,same day,east,stormy,10.6,42.68,1970-01-01 00:00:00.000000005
250.99,dhl,documents,scooter,same day,central,rainy,124.2,1.02,1970-01-01 00:00:00.000000007
250.99,ekart,furniture,ev van,two day,north,stormy,129.5,13.38,1970-01-01 00:00:00.000000007
250.99,shadowfax,automobile parts,scooter,express,south,foggy,257.0,10.83,1970-01-01 00:00:00.000000007
250.99,blue dart,pharmacy,scooter,two day,south,hot,264.9,43.16,1970-01-01 00:00:00.000000009
250.99,shadowfax,cosmetics,bike,two day,west,stormy,163.5,19.83,1970-01-01 00:00:00.000000008
250.99,delhivery,fragile items,truck,same day,north,hot,34.6,47.42,1970-01-01 00:00:00.000000003
250.99,shadowfax,fragile items,ev bike,two day,north,rainy,183.1,38.15,1970-01-01 00:00:00.000000013
250.99,shadowfax,groceries,ev van,standard,south,clear,138.7,43.15,1970-01-01 00:00:00.000000003
250.99,delhivery,cosmetics,ev van,same day,south,foggy,127.5,41.92,1970-01-01 00:00:00.000000006
250.99,xpressbees,documents,ev van,standard,west,clear,295.3,8.06,1970-01-01 00:00:00.000000010
250.99,dhl,pharmacy,ev van,express,central,foggy,297.1,2.64,1970-01-01 00:00:00.000000012
250.99,amazon logistics,documents,truck,same day,east,foggy,123.5,29.37,1970-01-01 00:00:00.000000008
250.99,delhivery,automobile parts,ev bike,standard,south,stormy,280.4,3.78,1970-01-01 00:00:00.000000011
251.0,blue dart,cosmetics,truck,express,west,hot,74.1,28.64,1970-01-01 00:00:00.000000003
252.0,fedex,pharmacy,bike,express,west,cold,58.9,11.97,1970-01-01 00:00:00.000000002
253.0,blue dart,furniture,bike,standard,north,clear,197.4,47.42,1970-01-01 00:00:00.000000008
254.0,ekart,furniture,bike,same day,central,foggy,150.6,22.4,1970-01-01 00:00:00.000000007
255.0,shadowfax,fragile items,van,two day,east,hot,224.0,31.45,1970-01-01 00:00:00.000000004
256.0,blue dart,documents,van,two day,west,rainy,33.9,29.91,1970-01-01 00:00:00.000000004
257.0,xpressbees,fragile items,truck,two day,north,cold,145.2,46.17,1970-01-01 00:00:00.000000005
258.0,delhivery,documents,truck,two day,central,stormy,204.9,41.15,1970-01-01 00:00:00.000000009
259.0,blue dart,clothing,van,standard,central,foggy,150.8,39.64,1970-01-01 00:00:00.000000006
260.0,shadowfax,cosmetics,ev bike,standard,central,clear,86.6,16.17,1970-01-01 00:00:00.000000003
261.0,amazon logistics,cosmetics,ev van,standard,east,stormy,150.7,17.56,1970-01-01 00:00:00.000000008
262.0,blue dart,groceries,scooter,two day,north,clear,176.0,18.92,1970-01-01 00:00:00.000000005
263.0,ekart,pharmacy,scooter,standard,east,rainy,165.6,18.69,1970-01-01 00:00:00.000000007
264.0,ecom express,cosmetics,ev van,two day,west,foggy,170.2,44.12,1970-01-01 00:00:00.000000005
265.0,ecom express,fragile items,ev van,express,east,clear,133.4,24.33,1970-01-01 00:00:00.000000004
266.0,shadowfax,automobile parts,scooter,same day,east,clear,100.0,33.34,1970-01-01 00:00:00.000000004
267.0,fedex,fragile items,truck,two day,south,cold,22.1,11.47,1970-01-01 00:00:00.000000001
268.0,dhl,groceries,truck,two day,west,foggy,14.9,49.35,1970-01-01 00:00:00.000000004
269.0,shadowfax,documents,truck,standard,east,clear,160.6,48.08,1970-01-01 00:00:00.000000006
270.0,shadowfax,electronics,ev van,express,west,rainy,257.8,30.28,1970-01-01 00:00:00.000000007
271.0,ekart,pharmacy,bike,standard,north,stormy,235.9,46.05,1970-01-01 00:00:00.000000011
272.0,delhivery,pharmacy,truck,express,south,cold,161.3,41.74,1970-01-01 00:00:00.000000005
273.0,blue dart,cosmetics,scooter,express,central,foggy,192.2,4.85,1970-01-01 00:00:00.000000007
274.0,ecom express,electronics,ev bike,two day,west,rainy,293.0,48.5,1970-01-01 00:00:00.000000009
